term,freq_clickbait,freq_nonclickbait,p_clickbait,p_nonclickbait,log_odds,dominance,ratio_cb_non
heboh,41,3,0.0006204848646013385,4.8828125e-05,2.5421947332741897,0.0005716567396013384,10.5
postingan,19,1,0.0002954689831434945,2.44140625e-05,2.493404569104758,0.0002710549206434945,10.0
ustadz,9,0,0.00014773449157174726,1.220703125e-05,2.493404569104758,0.00013552746032174725,10.0
capricorn,9,0,0.00014773449157174726,1.220703125e-05,2.493404569104758,0.00013552746032174725,10.0
eunwoo,9,0,0.00014773449157174726,1.220703125e-05,2.493404569104758,0.00013552746032174725,10.0
hae,9,0,0.00014773449157174726,1.220703125e-05,2.493404569104758,0.00013552746032174725,10.0
hollywood,9,0,0.00014773449157174726,1.220703125e-05,2.493404569104758,0.00013552746032174725,10.0
nyinyir,9,0,0.00014773449157174726,1.220703125e-05,2.493404569104758,0.00013552746032174725,10.0
jarang,9,0,0.00014773449157174726,1.220703125e-05,2.493404569104758,0.00013552746032174725,10.0
reaksi,48,4,0.0007238990087015616,6.103515625e-05,2.4732018617872384,0.0006628638524515616,9.8
aneh,18,1,0.0002806955339863198,2.44140625e-05,2.4421112747172073,0.0002562814714863198,9.5
siapa,54,5,0.00081253970364461,7.32421875e-05,2.4063931921151283,0.00073929751614461,9.166666666666666
youtuber,26,2,0.00039888312724371757,3.662109375e-05,2.3880440534469316,0.0003622620334937176,9.0
suzy,17,1,0.00026592208482914504,2.44140625e-05,2.3880440534469316,0.00024150802232914505,9.0
slavina,17,1,0.00026592208482914504,2.44140625e-05,2.3880440534469316,0.00024150802232914505,9.0
jin,8,0,0.00013296104241457252,1.220703125e-05,2.3880440534469316,0.00012075401116457252,9.0
teuku,8,0,0.00013296104241457252,1.220703125e-05,2.3880440534469316,0.00012075401116457252,9.0
girl,8,0,0.00013296104241457252,1.220703125e-05,2.3880440534469316,0.00012075401116457252,9.0
kece,8,0,0.00013296104241457252,1.220703125e-05,2.3880440534469316,0.00012075401116457252,9.0
rookie,8,0,0.00013296104241457252,1.220703125e-05,2.3880440534469316,0.00012075401116457252,9.0
hot,8,0,0.00013296104241457252,1.220703125e-05,2.3880440534469316,0.00012075401116457252,9.0
ryung,8,0,0.00013296104241457252,1.220703125e-05,2.3880440534469316,0.00012075401116457252,9.0
surga,8,0,0.00013296104241457252,1.220703125e-05,2.3880440534469316,0.00012075401116457252,9.0
queendom,8,0,0.00013296104241457252,1.220703125e-05,2.3880440534469316,0.00012075401116457252,9.0
rinciannya,8,0,0.00013296104241457252,1.220703125e-05,2.3880440534469316,0.00012075401116457252,9.0
histori,8,0,0.00013296104241457252,1.220703125e-05,2.3880440534469316,0.00012075401116457252,9.0
rezky,8,0,0.00013296104241457252,1.220703125e-05,2.3880440534469316,0.00012075401116457252,9.0
jomblo,8,0,0.00013296104241457252,1.220703125e-05,2.3880440534469316,0.00012075401116457252,9.0
ciri,8,0,0.00013296104241457252,1.220703125e-05,2.3880440534469316,0.00012075401116457252,9.0
aditya,8,0,0.00013296104241457252,1.220703125e-05,2.3880440534469316,0.00012075401116457252,9.0
kamu,43,4,0.0006500317629156879,6.103515625e-05,2.365571197594873,0.0005889966066656879,8.8
ganteng,25,2,0.00038410967808654285,3.662109375e-05,2.3503037254640846,0.0003474885843365429,8.666666666666666
nagita,25,2,0.00038410967808654285,3.662109375e-05,2.3503037254640846,0.0003474885843365429,8.666666666666666
bebby,68,7,0.0010193679918450561,9.765625e-05,2.3454844390281355,0.0009217117418450562,8.625
fey,68,7,0.0010193679918450561,9.765625e-05,2.3454844390281355,0.0009217117418450562,8.625
potret,42,4,0.0006352583137585132,6.103515625e-05,2.3425816793701744,0.0005742231575085132,8.6
lucu,16,1,0.00025114863567197033,2.44140625e-05,2.330885639606983,0.00022673457317197034,8.5
bak,24,2,0.00036933622892936814,3.662109375e-05,2.3110830123108035,0.00033271513517936816,8.333333333333334
asyik,15,1,0.00023637518651479562,2.44140625e-05,2.2702610177905482,0.00021196112401479562,8.0
ji,15,1,0.00023637518651479562,2.44140625e-05,2.2702610177905482,0.00021196112401479562,8.0
superm,15,1,0.00023637518651479562,2.44140625e-05,2.2702610177905482,0.00021196112401479562,8.0
zico,7,0,0.00011818759325739781,1.220703125e-05,2.2702610177905482,0.00010598056200739781,8.0
scorpio,7,0,0.00011818759325739781,1.220703125e-05,2.2702610177905482,0.00010598056200739781,8.0
rose,7,0,0.00011818759325739781,1.220703125e-05,2.2702610177905482,0.00010598056200739781,8.0
visual,7,0,0.00011818759325739781,1.220703125e-05,2.2702610177905482,0.00010598056200739781,8.0
safitri,7,0,0.00011818759325739781,1.220703125e-05,2.2702610177905482,0.00010598056200739781,8.0
keri,7,0,0.00011818759325739781,1.220703125e-05,2.2702610177905482,0.00010598056200739781,8.0
pamela,7,0,0.00011818759325739781,1.220703125e-05,2.2702610177905482,0.00010598056200739781,8.0
pisces,7,0,0.00011818759325739781,1.220703125e-05,2.2702610177905482,0.00010598056200739781,8.0
ekspresi,7,0,0.00011818759325739781,1.220703125e-05,2.2702610177905482,0.00010598056200739781,8.0
ita,14,1,0.00022160173735762088,2.44140625e-05,2.205722496652977,0.00019718767485762088,7.5
bule,14,1,0.00022160173735762088,2.44140625e-05,2.205722496652977,0.00019718767485762088,7.5
news,14,1,0.00022160173735762088,2.44140625e-05,2.205722496652977,0.00019718767485762088,7.5
apa,110,14,0.0016398528564463945,0.00018310546875,2.1922994763208363,0.0014567473876963945,7.4
netizen,70,9,0.0010489148901594056,0.0001220703125,2.150914260157982,0.0009268445776594056,7.1
halilintar,48,6,0.0007238990087015616,8.544921875e-05,2.136729625166026,0.0006384497899515615,7.0
atta,48,6,0.0007238990087015616,8.544921875e-05,2.136729625166026,0.0006384497899515615,7.0
jameela,20,2,0.00031024243230066924,3.662109375e-05,2.1367296251660255,0.00027362133855066926,7.0
seleb,13,1,0.00020682828820044617,2.44140625e-05,2.1367296251660255,0.00018241422570044617,7.0
bohong,13,1,0.00020682828820044617,2.44140625e-05,2.1367296251660255,0.00018241422570044617,7.0
pose,13,1,0.00020682828820044617,2.44140625e-05,2.1367296251660255,0.00018241422570044617,7.0
ojol,13,1,0.00020682828820044617,2.44140625e-05,2.1367296251660255,0.00018241422570044617,7.0
idam,6,0,0.00010341414410022308,1.220703125e-05,2.1367296251660255,9.120711285022309e-05,7.0
bleszynski,6,0,0.00010341414410022308,1.220703125e-05,2.1367296251660255,9.120711285022309e-05,7.0
donghae,6,0,0.00010341414410022308,1.220703125e-05,2.1367296251660255,9.120711285022309e-05,7.0
gatal,6,0,0.00010341414410022308,1.220703125e-05,2.1367296251660255,9.120711285022309e-05,7.0
choi,6,0,0.00010341414410022308,1.220703125e-05,2.1367296251660255,9.120711285022309e-05,7.0
geleng,6,0,0.00010341414410022308,1.220703125e-05,2.1367296251660255,9.120711285022309e-05,7.0
pistol,6,0,0.00010341414410022308,1.220703125e-05,2.1367296251660255,9.120711285022309e-05,7.0
jill,6,0,0.00010341414410022308,1.220703125e-05,2.1367296251660255,9.120711285022309e-05,7.0
innalillahi,6,0,0.00010341414410022308,1.220703125e-05,2.1367296251660255,9.120711285022309e-05,7.0
longo,6,0,0.00010341414410022308,1.220703125e-05,2.1367296251660255,9.120711285022309e-05,7.0
tamara,6,0,0.00010341414410022308,1.220703125e-05,2.1367296251660255,9.120711285022309e-05,7.0
tingkah,6,0,0.00010341414410022308,1.220703125e-05,2.1367296251660255,9.120711285022309e-05,7.0
sebal,6,0,0.00010341414410022308,1.220703125e-05,2.1367296251660255,9.120711285022309e-05,7.0
sensitif,6,0,0.00010341414410022308,1.220703125e-05,2.1367296251660255,9.120711285022309e-05,7.0
snsd,6,0,0.00010341414410022308,1.220703125e-05,2.1367296251660255,9.120711285022309e-05,7.0
cap,6,0,0.00010341414410022308,1.220703125e-05,2.1367296251660255,9.120711285022309e-05,7.0
siwon,6,0,0.00010341414410022308,1.220703125e-05,2.1367296251660255,9.120711285022309e-05,7.0
meteor,6,0,0.00010341414410022308,1.220703125e-05,2.1367296251660255,9.120711285022309e-05,7.0
yg,6,0,0.00010341414410022308,1.220703125e-05,2.1367296251660255,9.120711285022309e-05,7.0
ussy,6,0,0.00010341414410022308,1.220703125e-05,2.1367296251660255,9.120711285022309e-05,7.0
jurus,6,0,0.00010341414410022308,1.220703125e-05,2.1367296251660255,9.120711285022309e-05,7.0
iz,6,0,0.00010341414410022308,1.220703125e-05,2.1367296251660255,9.120711285022309e-05,7.0
pocong,6,0,0.00010341414410022308,1.220703125e-05,2.1367296251660255,9.120711285022309e-05,7.0
salfok,6,0,0.00010341414410022308,1.220703125e-05,2.1367296251660255,9.120711285022309e-05,7.0
tajir,6,0,0.00010341414410022308,1.220703125e-05,2.1367296251660255,9.120711285022309e-05,7.0
riwayat,6,0,0.00010341414410022308,1.220703125e-05,2.1367296251660255,9.120711285022309e-05,7.0
duluan,6,0,0.00010341414410022308,1.220703125e-05,2.1367296251660255,9.120711285022309e-05,7.0
kylie,6,0,0.00010341414410022308,1.220703125e-05,2.1367296251660255,9.120711285022309e-05,7.0
rasuk,6,0,0.00010341414410022308,1.220703125e-05,2.1367296251660255,9.120711285022309e-05,7.0
rassya,6,0,0.00010341414410022308,1.220703125e-05,2.1367296251660255,9.120711285022309e-05,7.0
andhika,6,0,0.00010341414410022308,1.220703125e-05,2.1367296251660255,9.120711285022309e-05,7.0
sindir,40,5,0.0006057114154441638,7.32421875e-05,2.112632073586965,0.0005324692279441638,6.833333333333333
ayu,26,3,0.00039888312724371757,4.8828125e-05,2.1003619809951504,0.0003500550022437176,6.75
dika,19,2,0.0002954689831434945,3.662109375e-05,2.0879394609965938,0.00025884788939349454,6.666666666666667
warganet,19,2,0.0002954689831434945,3.662109375e-05,2.0879394609965938,0.00025884788939349454,6.666666666666667
ngakak,19,2,0.0002954689831434945,3.662109375e-05,2.0879394609965938,0.00025884788939349454,6.666666666666667
twice,25,3,0.00038410967808654285,4.8828125e-05,2.0626216530123034,0.00033528155308654286,6.5
baekhyun,12,1,0.00019205483904327143,2.44140625e-05,2.0626216530123034,0.00016764077654327143,6.5
alas,166,25,0.0024671660092481793,0.0003173828125,2.0507167505059853,0.002149783196748179,6.423076923076923
velvet,18,2,0.0002806955339863198,3.662109375e-05,2.036646166609043,0.0002440744402363198,6.333333333333333
stres,18,2,0.0002806955339863198,3.662109375e-05,2.036646166609043,0.0002440744402363198,6.333333333333333
lamar,18,2,0.0002806955339863198,3.662109375e-05,2.036646166609043,0.0002440744402363198,6.333333333333333
lucinta,24,3,0.00036933622892936814,4.8828125e-05,2.0234009398590223,0.00032050810392936815,6.25
fakta,105,16,0.0015659856106605208,0.00020751953125,2.0210452261665632,0.001358466079410521,6.235294117647059
simak,29,4,0.00044320347471524176,6.103515625e-05,1.9825789453387672,0.00038216831846524176,6.0
member,23,3,0.00035456277977219343,4.8828125e-05,1.9825789453387672,0.00030573465477219344,6.0
yuk,23,3,0.00035456277977219343,4.8828125e-05,1.9825789453387672,0.00030573465477219344,6.0
blakan,17,2,0.00026592208482914504,3.662109375e-05,1.9825789453387672,0.00022930099107914504,6.0
hengkang,17,2,0.00026592208482914504,3.662109375e-05,1.9825789453387672,0.00022930099107914504,6.0
rating,17,2,0.00026592208482914504,3.662109375e-05,1.9825789453387672,0.00022930099107914504,6.0
blak,17,2,0.00026592208482914504,3.662109375e-05,1.9825789453387672,0.00022930099107914504,6.0
breaking,11,1,0.00017728138988609671,2.44140625e-05,1.9825789453387672,0.00015286732738609672,6.0
rosa,11,1,0.00017728138988609671,2.44140625e-05,1.9825789453387672,0.00015286732738609672,6.0
pajang,11,1,0.00017728138988609671,2.44140625e-05,1.9825789453387672,0.00015286732738609672,6.0
produce,11,1,0.00017728138988609671,2.44140625e-05,1.9825789453387672,0.00015286732738609672,6.0
dandan,11,1,0.00017728138988609671,2.44140625e-05,1.9825789453387672,0.00015286732738609672,6.0
hyuna,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
bosan,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
paloh,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
melting,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
kiper,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
princess,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
pinggang,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
softly,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
gin,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
mayangsari,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
agnes,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
nayeon,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
tato,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
remeh,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
gawat,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
flower,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
rayya,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
sid,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
monica,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
mistis,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
lembar,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
bilqis,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
dear,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
andy,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
padahal,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
takjub,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
shall,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
fanmeeting,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
arthdal,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
ledek,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
nih,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
kkn,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
chronicles,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
aziza,5,0,8.864069494304836e-05,1.220703125e-05,1.9825789453387672,7.643366369304836e-05,6.0
perut,22,3,0.0003397893306150187,4.8828125e-05,1.9400193309199714,0.0002909612056150187,5.75
farhat,16,2,0.00025114863567197033,3.662109375e-05,1.9254205314988186,0.00021452754192197033,5.666666666666667
jungkook,16,2,0.00025114863567197033,3.662109375e-05,1.9254205314988186,0.00021452754192197033,5.666666666666667
tidur,43,7,0.0006500317629156879,9.765625e-05,1.8955675683491373,0.0005523755129156879,5.5
spesifikasi,21,3,0.00032501588145784395,4.8828125e-05,1.8955675683491373,0.00027618775645784396,5.5
peluk,21,3,0.00032501588145784395,4.8828125e-05,1.8955675683491373,0.00027618775645784396,5.5
beber,10,1,0.00016250794072892197,2.44140625e-05,1.8955675683491373,0.00013809387822892198,5.5
syok,10,1,0.00016250794072892197,2.44140625e-05,1.8955675683491373,0.00013809387822892198,5.5
roy,10,1,0.00016250794072892197,2.44140625e-05,1.8955675683491373,0.00013809387822892198,5.5
rekan,10,1,0.00016250794072892197,2.44140625e-05,1.8955675683491373,0.00013809387822892198,5.5
manja,10,1,0.00016250794072892197,2.44140625e-05,1.8955675683491373,0.00013809387822892198,5.5
adegan,15,2,0.00023637518651479562,3.662109375e-05,1.8647959096823838,0.0001997540927647956,5.333333333333333
kulit,57,10,0.0008568600511161341,0.00013427734375,1.853367213858761,0.000722582707366134,5.2727272727272725
posting,20,3,0.00031024243230066924,4.8828125e-05,1.8490475527142445,0.00026141430730066925,5.25
raditya,20,3,0.00031024243230066924,4.8828125e-05,1.8490475527142445,0.00026141430730066925,5.25
mesra,20,3,0.00031024243230066924,4.8828125e-05,1.8490475527142445,0.00026141430730066925,5.25
fans,86,16,0.0012852900766742012,0.00020751953125,1.82351425070908,0.0010777705454242013,5.117647058823529
pacar,50,9,0.000753445907015911,0.0001220703125,1.8200600158409923,0.000631375594515911,5.1
cara,156,30,0.002319431517676432,0.00037841796875,1.8130780769738741,0.001941013548926432,5.064516129032258
video,154,30,0.0022898846193620823,0.00037841796875,1.8002573885448125,0.0019114666506120823,5.0
vanessa,19,3,0.0002954689831434945,4.8828125e-05,1.8002573885448125,0.00024664085814349453,5.0
avengers,14,2,0.00022160173735762088,3.662109375e-05,1.8002573885448125,0.00018498064360762087,5.0
sengaja,14,2,0.00022160173735762088,3.662109375e-05,1.8002573885448125,0.00018498064360762087,5.0
gambar,9,1,0.00014773449157174726,2.44140625e-05,1.8002573885448125,0.00012332042907174727,5.0
syur,9,1,0.00014773449157174726,2.44140625e-05,1.8002573885448125,0.00012332042907174727,5.0
chat,9,1,0.00014773449157174726,2.44140625e-05,1.8002573885448125,0.00012332042907174727,5.0
goo,9,1,0.00014773449157174726,2.44140625e-05,1.8002573885448125,0.00012332042907174727,5.0
gosip,9,1,0.00014773449157174726,2.44140625e-05,1.8002573885448125,0.00012332042907174727,5.0
dingin,9,1,0.00014773449157174726,2.44140625e-05,1.8002573885448125,0.00012332042907174727,5.0
nokdu,9,1,0.00014773449157174726,2.44140625e-05,1.8002573885448125,0.00012332042907174727,5.0
tale,9,1,0.00014773449157174726,2.44140625e-05,1.8002573885448125,0.00012332042907174727,5.0
gak,9,1,0.00014773449157174726,2.44140625e-05,1.8002573885448125,0.00012332042907174727,5.0
aries,9,1,0.00014773449157174726,2.44140625e-05,1.8002573885448125,0.00012332042907174727,5.0
topik,9,1,0.00014773449157174726,2.44140625e-05,1.8002573885448125,0.00012332042907174727,5.0
benda,9,1,0.00014773449157174726,2.44140625e-05,1.8002573885448125,0.00012332042907174727,5.0
aguero,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
ter,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
chanel,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
asih,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
belang,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
geraldine,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
nyai,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
anya,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
jitu,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
otot,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
jun,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
tekno,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
sungkem,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
jihyo,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
moeis,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
botak,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
wanti,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
thamrin,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
perez,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
resign,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
maryam,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
rasulullah,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
sarwendah,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
verrell,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
abal,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
bur,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
keringat,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
ms,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
anissa,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
endorse,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
noviana,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
entrepreneur,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
elegan,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
herjunot,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
decak,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
zalina,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
nafsu,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
crew,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
rp200,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
smkn,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
nose,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
kaus,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
virus,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
analisis,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
scott,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
ceplos,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
iri,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
gadget,4,0,7.386724578587363e-05,1.220703125e-05,1.8002573885448125,6.166021453587363e-05,5.0
